Document No,Posting Date,Material Description,Quantity,Unit,Plant,Vendor,Amount
4500012301,15.01.2026,Diesel,500,L,PLANT01,Indian Oil Corp,42500
4500012302,18.01.2026,Petrol,300,L,PLANT02,BPCL,27000
4500012303,22.01.2026,Furnace Oil,1200,KG,PLANT01,HPCL,98000
4500012304,25.01.2026,Office Supplies,50,EA,PLANT03,Staples India,12500
4500012305,28.01.2026,LPG,800,KG,PLANT02,Indian Oil Corp,64000
4500012306,02.02.2026,Diesel,750,L,PLANT01,Indian Oil Corp,63750
4500012307,05.02.2026,Safety Equipment,25,EA,PLANT03,3M India,45000
4500012308,10.02.2026,CNG,400,KG,PLANT02,Gujarat Gas,28000
4500012309,14.02.2026,Petrol,200,L,PLANT01,BPCL,18000
4500012310,20.02.2026,HSD,600,L,PLANT03,HPCL,51000
